
Feb 06, 2019 11:40:18.64 NEW SESSION
Feb 06, 2019 11:40:18.64 [9536:6896:0206/114018.640:ERROR:gcm_channel_status_request.cc(151)] GCM channel request failed.
Feb 06, 2019 11:40:44.23 [9536:6896:0206/114044.238:ERROR:gcm_channel_status_request.cc(151)] GCM channel request failed.
Feb 06, 2019 11:41:39.93 [9536:6896:0206/114139.930:ERROR:gcm_channel_status_request.cc(151)] GCM channel request failed.
Feb 06, 2019 11:43:11.25 [9536:6896:0206/114311.256:ERROR:gcm_channel_status_request.cc(151)] GCM channel request failed.
Feb 06, 2019 11:46:15.13 [9536:6896:0206/114615.131:ERROR:gcm_channel_status_request.cc(151)] GCM channel request failed.
Feb 06, 2019 12:07:13.43 [9536:13068:0206/120713.387:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -107
Feb 06, 2019 12:07:14.03 [9536:13068:0206/120714.036:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -107
Feb 06, 2019 12:18:05.14 [9536:13068:0206/121805.139:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:43:27.09 [9536:13068:0206/124327.094:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:43:33.28 [9536:13068:0206/124333.280:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:58:35.99 [9536:13068:0206/125835.988:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:59:44.36 [9536:13068:0206/125944.361:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:59:44.40 [9536:13068:0206/125944.404:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:59:44.48 [9536:13068:0206/125944.484:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:59:53.22 [9536:13068:0206/125953.226:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 12:59:58.82 [9536:13068:0206/125958.825:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 13:00:13.59 [9536:13068:0206/130013.591:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 13:00:17.71 [9536:13068:0206/130017.716:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 13:00:35.83 [9536:13068:0206/130035.834:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100
Feb 06, 2019 13:12:48.18 [9536:13068:0206/131248.187:ERROR:ssl_client_socket_impl.cc(1013)] handshake failed; returned -1, SSL error code 1, net_error -100

Feb 10, 2019 14:25:57.10 NEW SESSION
Feb 10, 2019 14:25:57.10 [15532:12304:0210/142557.007:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.11 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.11 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.11 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.061:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.12 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.13 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.14 [15532:12304:0210/142557.062:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.15 [15532:12304:0210/142557.063:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.15 [15532:12304:0210/142557.063:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
Feb 10, 2019 14:25:57.15 [15532:12304:0210/142557.063:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
