127.0.0.1 - - [12/Feb/2019:21:03:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:03:46 +0530] "GET /client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:03:46 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/ HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/controllers/jobcontroller.js HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/js/app.js HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/services/jobservice.js HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/controllers/usercontroller.js HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:04:07 +0530] "GET /client/services/userservice.js HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:17 +0530] "GET /client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:17 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:18 +0530] "GET /client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:18 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/ HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/controllers/usercontroller.js HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/js/app.js HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/services/userservice.js HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/services/jobservice.js HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:38 +0530] "GET /client/controllers/jobcontroller.js HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:47 +0530] "GET /client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:47 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:47 +0530] "GET /client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2019:21:05:47 +0530] "GET /client/resources/images/niit.jpg HTTP/1.1" 404 1118
